// x, y, n_BG, n_sig0, n_sig1, n_sig2, n_sig3 
1100, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.8267;
1100, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.8505;
1100, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3861;
1100, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.4099;
1100, 3500, 1.9791e+06, 287.53, 20.8811, 133.65, 10.4336;
1100, 3600, 1.69559e+06, 261.949, 19.2851, 122.14, 9.39637;
1100, 3700, 1.46916e+06, 236.368, 17.9551, 113.827, 8.66419;
1100, 3800, 1.27717e+06, 206.694, 16.6251, 103.595, 8.2981;
1100, 3900, 1.08949e+06, 181.113, 15.4281, 88.887, 7.56591;
1100, 4000, 956617, 166.788, 14.7631, 81.2133, 7.07779;
1200, 100, 6.58269e+09, 5370.98, 182.743, 2706.9, 87.2521;
1200, 200, 4.17296e+09, 5349.5, 182.477, 2699.86, 87.13;
1200, 300, 2.8049e+09, 5331.08, 182.344, 2689.63, 86.8249;
1200, 400, 1.96851e+09, 5307.54, 181.546, 2669.17, 86.5199;
1200, 500, 1.40547e+09, 5262.52, 180.615, 2644.23, 86.3978;
1200, 600, 1.02699e+09, 5197.03, 178.886, 2619.29, 85.9707;
1200, 700, 7.68559e+08, 5123.36, 177.689, 2585.4, 85.4216;
1200, 800, 5.80732e+08, 5011.83, 175.428, 2524.65, 84.6284;
1200, 900, 4.39727e+08, 4896.2, 172.901, 2458.78, 83.164;
1200, 1000, 3.2745e+08, 4747.83, 170.507, 2376.93, 81.4556;
1200, 1100, 2.50741e+08, 4548.3, 165.852, 2291.88, 79.3811;
1200, 1200, 1.93674e+08, 4276.12, 160.399, 2144.16, 76.0252;
1200, 1300, 1.40921e+08, 3937.43, 152.951, 1942.73, 71.388;
1200, 1400, 1.07616e+08, 3491.29, 143.508, 1723.39, 67.239;
1200, 1500, 8.36188e+07, 3106.55, 133.799, 1534.1, 61.5035;
1200, 1600, 6.56211e+07, 2750.47, 122.627, 1365.92, 56.9274;
1200, 1700, 5.10318e+07, 2441.45, 111.189, 1210.53, 52.1682;
1200, 1800, 3.98179e+07, 2151.87, 101.613, 1071.12, 48.5683;
1200, 1900, 3.19309e+07, 1901.18, 92.0365, 943.865, 44.0531;
1200, 2000, 2.51684e+07, 1644.35, 83.3914, 814.691, 40.0261;
1200, 2100, 2.02203e+07, 1442.77, 77.6724, 714.294, 36.6703;
1200, 2200, 1.6475e+07, 1259.61, 69.5594, 629.243, 33.7415;
1200, 2300, 1.36111e+07, 1117.38, 64.2393, 542.275, 30.2026;
1200, 2400, 1.10752e+07, 992.542, 59.0523, 494.314, 27.1519;
1200, 2500, 9.23476e+06, 878.963, 55.4613, 438.68, 24.2231;
1200, 2600, 7.81258e+06, 780.732, 50.8063, 390.08, 21.6605;
1200, 2700, 6.52627e+06, 689.663, 46.4172, 340.201, 19.83;
1200, 2800, 5.49069e+06, 613.944, 41.3632, 296.077, 18.3656;
1200, 2900, 4.61806e+06, 540.27, 37.2402, 263.464, 16.9013;
1200, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.864;
1200, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.7657;
1200, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.7895;
1200, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3251;
1200, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.3489;
