// Wino with mass 3 TeV 
// leading jet pt, n_BG, n_sig, significance 
5335, 1.02603, 0, 0;
5345, 0.946321, 0, 0;
5355, 0.982025, 0, 0;
5365, 0.888518, 0, 0;
5375, 1.00549, 0, 0;
5385, 0.950074, 0.143023, 0.146733;
5395, 0.978819, 0, 0;
5405, 0.873409, 0, 0;
5415, 0.89745, 0.635831, 0.671177;
5425, 0.88629, 0, 0;
5435, 0.985217, 0, 0;
5445, 0.860982, 0, 0;
5455, 0.912331, 0, 0;
5465, 0.885006, 0, 0;
5475, 0.912774, 0, 0;
5485, 0.751419, 0.136388, 0.157339;
5495, 0.868288, 0, 0;
5505, 0.881149, 0, 0;
5515, 0.862074, 0, 0;
5525, 0.815189, 0, 0;
5535, 0.803085, 0, 0;
5545, 0.797249, 0, 0;
5555, 0.750117, 0.231922, 0.267779;
5565, 0.740675, 0, 0;
5575, 0.727168, 0, 0;
5585, 0.737824, 0, 0;
5595, 0.789139, 0, 0;
5605, 0.760282, 0, 0;
5615, 0.677417, 0, 0;
5625, 0.792517, 0, 0;
5635, 0.745998, 0, 0;
5645, 0.730603, 0, 0;
5655, 0.815179, 0, 0;
5665, 0.679079, 0, 0;
5675, 0.69981, 0, 0;
5685, 0.736457, 0, 0;
5695, 0.624722, 0, 0;
5705, 0.593574, 0, 0;
5715, 0.667656, 0, 0;
5725, 0.566973, 0, 0;
5735, 0.659484, 0.342736, 0.422043;
5745, 0.664844, 0, 0;
5755, 0.587832, 0, 0;
5765, 0.637703, 0, 0;
5775, 0.535352, 0, 0;
5785, 0.557643, 0.231461, 0.309955;
5795, 0.650865, 0, 0;
5805, 0.561905, 0.0817867, 0.109107;
5815, 0.617306, 0, 0;
5825, 0.596627, 0, 0;
5835, 0.584704, 0, 0;
5845, 0.577635, 0, 0;
5855, 0.590908, 0, 0;
5865, 0.531226, 0, 0;
5875, 0.593813, 0, 0;
5885, 0.599912, 0, 0;
5895, 0.568042, 0, 0;
5905, 0.521456, 0, 0;
5915, 0.488739, 0, 0;
5925, 0.535666, 0, 0;
5935, 0.45346, 0, 0;
5945, 0.509946, 0, 0;
5955, 0.592512, 0, 0;
5965, 0.47833, 0, 0;
5975, 0.573717, 0, 0;
5985, 0.507024, 0, 0;
5995, 0.522503, 0, 0;
6005, 0.451368, 0, 0;
6015, 0.488773, 0, 0;
6025, 0.457165, 0, 0;
6035, 0.453821, 0, 0;
6045, 0.436264, 0, 0;
6055, 0.49232, 0, 0;
6065, 0.47017, 0, 0;
6075, 0.41306, 0, 0;
6085, 0.461693, 0, 0;
6095, 0.490932, 0, 0;
6105, 0.502211, 0, 0;
6115, 0.433569, 0, 0;
6125, 0.437401, 1.33827, 2.0235;
6135, 0.376239, 0, 0;
6145, 0.414585, 0, 0;
6155, 0.411239, 0, 0;
6165, 0.431054, 0, 0;
6175, 0.384776, 0, 0;
6185, 0.39078, 0, 0;
6195, 0.408287, 0, 0;
6205, 0.409007, 0, 0;
6215, 0.334712, 0, 0;
6225, 0.412262, 0, 0;
6235, 0.43723, 0, 0;
6245, 0.384782, 0, 0;
6255, 0.325321, 0, 0;
6265, 0.347168, 0, 0;
6275, 0.320194, 3.02204, 5.34064;
6285, 0.360088, 0, 0;
6295, 0.357245, 0, 0;
6305, 0.383267, 0, 0;
6315, 0.373203, 0.228757, 0.374457;
6325, 0.402097, 0, 0;
6335, 0.311147, 0, 0;
6345, 0.365087, 0.456624, 0.755719;
6355, 0.295764, 0.180386, 0.331689;
6365, 0.352599, 0, 0;
6375, 0.310992, 0, 0;
6385, 0.372983, 0, 0;
6395, 0.307181, 0, 0;
6405, 0.320944, 0, 0;
6415, 0.306074, 0, 0;
6425, 0.285332, 0, 0;
6435, 0.354888, 0.675688, 1.13423;
6445, 0.319191, 0, 0;
6455, 0.330233, 0, 0;
6465, 0.354633, 0, 0;
6475, 0.275857, 0, 0;
6485, 0.290426, 0, 0;
6495, 0.286997, 0, 0;
6505, 0.288381, 0, 0;
6515, 0.305389, 0, 0;
6525, 0.285116, 0, 0;
6535, 0.240884, 0, 0;
6545, 0.257188, 0.377383, 0.744144;
6555, 0.232359, 0, 0;
6565, 0.305147, 0, 0;
6575, 0.377122, 0, 0;
6585, 0.220525, 0, 0;
6595, 0.292919, 0, 0;
6605, 0.288339, 0, 0;
6615, 0.283279, 0, 0;
6625, 0.250039, 0, 0;
6635, 0.234151, 0, 0;
6645, 0.227432, 0, 0;
6655, 0.268925, 0, 0;
6665, 0.260902, 0, 0;
6675, 0.224556, 0, 0;
6685, 0.202257, 0, 0;
6695, 0.17369, 0, 0;
6705, 0.231152, 0, 0;
6715, 0.184656, 0, 0;
6725, 0.240393, 0, 0;
6735, 0.218011, 0, 0;
6745, 0.220866, 0, 0;
6755, 0.241445, 0, 0;
6765, 0.249508, 0, 0;
6775, 0.231181, 0, 0;
6785, 0.212916, 0, 0;
6795, 0.2214, 0, 0;
6805, 0.215875, 0, 0;
6815, 0.194491, 0, 0;
6825, 0.19647, 0.317154, 0.71552;
6835, 0.258816, 0, 0;
6845, 0.208116, 0.938303, 2.05679;
6855, 0.221579, 0, 0;
6865, 0.20978, 0, 0;
6875, 0.234816, 0, 0;
6885, 0.20269, 0.389334, 0.864782;
6895, 0.217398, 0.873192, 1.87276;
6905, 0.230095, 0, 0;
6915, 0.187784, 0, 0;
6925, 0.190271, 0, 0;
6935, 0.202465, 0, 0;
6945, 0.175525, 0, 0;
6955, 0.18625, 0, 0;
6965, 0.226072, 0, 0;
6975, 0.192279, 0, 0;
6985, 0.167824, 0, 0;
6995, 0.186521, 0, 0;
7005, 0.177419, 0, 0;
7015, 0.158156, 0, 0;
7025, 0.143093, 0, 0;
7035, 0.17241, 0, 0;
7045, 0.148605, 0, 0;
7055, 0.165127, 0, 0;
7065, 0.198537, 0, 0;
7075, 0.14737, 0, 0;
7085, 0.175617, 0, 0;
7095, 0.180963, 0, 0;
7105, 0.145834, 0, 0;
7115, 0.146193, 0, 0;
7125, 0.195834, 0, 0;
